Latitude (decimal degrees):	49.915
Longitude (decimal degrees):	21.866
Elevation (m):	230
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: -30 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,2.05,5.24,0.0
20180101:0110,0.0,0.0,0.0,2.03,5.17,0.0
20180101:0210,0.0,0.0,0.0,1.92,5.24,0.0
20180101:0310,0.0,0.0,0.0,2.01,5.24,0.0
20180101:0410,0.0,0.0,0.0,2.22,5.45,0.0
20180101:0510,0.0,0.0,0.0,2.25,5.66,0.0
20180101:0610,0.0,0.0,0.0,2.27,5.79,0.0
20180101:0710,6.91,18.1,4.11,2.14,6.34,0.0
20180101:0810,381.69,430.91,10.3,2.61,5.79,0.0
20180101:0910,301.2,344.21,14.67,3.17,5.59,0.0
20180101:1010,158.99,192.33,16.86,3.71,5.66,0.0
20180101:1110,117.16,147.57,16.67,4.15,6.0,0.0
20180101:1210,135.91,168.97,14.1,4.31,5.17,0.0
20180101:1310,11.26,24.6,9.4,4.29,4.28,0.0
20180101:1410,0.0,1.81,2.96,4.11,4.21,0.0
20180101:1510,0.0,0.0,0.0,3.82,3.72,0.0
20180101:1610,0.0,0.0,0.0,3.74,3.38,0.0
20180101:1710,0.0,0.0,0.0,3.62,3.03,0.0
20180101:1810,0.0,0.0,0.0,3.57,2.69,0.0
20180101:1910,0.0,0.0,0.0,3.87,2.41,0.0
20180101:2010,0.0,0.0,0.0,3.58,2.14,0.0
20180101:2110,0.0,0.0,0.0,3.14,2.21,0.0
20180101:2210,0.0,0.0,0.0,2.92,2.14,0.0
20180101:2310,0.0,0.0,0.0,2.38,2.14,0.0
20180102:0010,0.0,0.0,0.0,1.95,2.07,0.0
20180102:0110,0.0,0.0,0.0,1.62,2.0,0.0
20180102:0210,0.0,0.0,0.0,1.65,1.86,0.0
20180102:0310,0.0,0.0,0.0,1.57,1.66,0.0
20180102:0410,0.0,0.0,0.0,1.45,1.52,0.0
20180102:0510,0.0,0.0,0.0,1.41,1.45,0.0
20180102:0610,0.0,0.0,0.0,1.8,1.24,0.0
20180102:0710,9.97,22.63,4.14,2.25,1.1,0.0
20180102:0810,203.03,240.95,10.34,3.07,1.1,0.0
20180102:0910,484.74,562.12,14.73,3.99,1.86,0.0
20180102:1010,564.36,660.72,16.94,4.55,1.86,0.0
